국가,상품플랜,가입나이,성별,최종보험료,3대비급여_MRI/MRA,3대비급여_도수·체외충격파·증식치료,3대비급여_비급여주사료,3대비급여_통합한도,사망및장해_상해사망,사망및장해_상해후유장해,사망및장해_질병사망및80%이상후유장해,일상손해_배상책임,일상손해_휴대품손해(분실제외),입원의료비_상해급여(국내),입원의료비_상해입원,입원의료비_상해질병통합,입원의료비_질병급여(국내),입원의료비_질병입원,통원의료비_상해외래,통원의료비_상해처방조제,통원의료비_질병외래,통원의료비_질병처방조제,특수리스크_구원자비용,특수리스크_항공기지연비용,특수리스크_해외상해의료비(USD),특수리스크_해외질병의료비(USD)
한국(KRW),DB_국내여행,20,여성,5000,0.0,0.0,0.0,0.0,50000000.0,50000000.0,5000000.0,5000000.0,200000.0,0.0,5000000.0,0.0,0.0,5000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
한국(KRW),DB_국내여행,30,여성,8630,0.0,0.0,0.0,0.0,50000000.0,50000000.0,5000000.0,5000000.0,200000.0,0.0,5000000.0,0.0,0.0,5000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
한국(KRW),DB_국내여행,40,여성,14880,0.0,0.0,0.0,0.0,50000000.0,50000000.0,5000000.0,5000000.0,200000.0,0.0,5000000.0,0.0,0.0,5000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
한국(KRW),DB_국내여행,50,여성,25660,0.0,0.0,0.0,0.0,50000000.0,50000000.0,5000000.0,5000000.0,200000.0,0.0,5000000.0,0.0,0.0,5000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
한국(KRW),DB_국내여행,60,여성,44240,0.0,0.0,0.0,0.0,50000000.0,50000000.0,5000000.0,5000000.0,200000.0,0.0,5000000.0,0.0,0.0,5000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
한국(KRW),DB_국내여행,70,여성,76290,0.0,0.0,0.0,0.0,50000000.0,50000000.0,5000000.0,5000000.0,200000.0,0.0,5000000.0,0.0,0.0,5000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
한국(KRW),DB_국내실손,10,여성,3690,3000000.0,3500000.0,2500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000000.0,0.0,0.0,250000.0,50000.0,250000.0,50000.0,0.0,0.0,0.0,0.0
한국(KRW),DB_국내실손,20,여성,6370,3000000.0,3500000.0,2500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000000.0,0.0,0.0,250000.0,50000.0,250000.0,50000.0,0.0,0.0,0.0,0.0
한국(KRW),DB_국내실손,30,여성,10980,3000000.0,3500000.0,2500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000000.0,0.0,0.0,250000.0,50000.0,250000.0,50000.0,0.0,0.0,0.0,0.0
한국(KRW),DB_국내실손,40,여성,18940,3000000.0,3500000.0,2500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000000.0,0.0,0.0,250000.0,50000.0,250000.0,50000.0,0.0,0.0,0.0,0.0
한국(KRW),DB_국내실손,50,여성,32660,3000000.0,3500000.0,2500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000000.0,0.0,0.0,250000.0,50000.0,250000.0,50000.0,0.0,0.0,0.0,0.0
한국(KRW),DB_국내실손,60,여성,56320,3000000.0,3500000.0,2500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000000.0,0.0,0.0,250000.0,50000.0,250000.0,50000.0,0.0,0.0,0.0,0.0
한국(KRW),DB_국내실손,70,여성,97120,3000000.0,3500000.0,2500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000000.0,0.0,0.0,250000.0,50000.0,250000.0,50000.0,0.0,0.0,0.0,0.0
한국(KRW),KB_국내여행,10,여성,15040,0.0,0.0,0.0,0.0,200000000.0,200000000.0,50000000.0,30000000.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
한국(KRW),KB_국내여행,20,여성,16810,0.0,0.0,0.0,0.0,200000000.0,200000000.0,50000000.0,30000000.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
한국(KRW),KB_국내여행,30,여성,18790,0.0,0.0,0.0,0.0,200000000.0,200000000.0,50000000.0,30000000.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
한국(KRW),KB_국내여행,40,여성,21000,0.0,0.0,0.0,0.0,200000000.0,200000000.0,50000000.0,30000000.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
한국(KRW),KB_국내여행,50,여성,23470,0.0,0.0,0.0,0.0,200000000.0,200000000.0,50000000.0,30000000.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
한국(KRW),KB_국내여행,60,여성,26240,0.0,0.0,0.0,0.0,200000000.0,200000000.0,50000000.0,30000000.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
한국(KRW),KB_국내여행,70,여성,29330,0.0,0.0,0.0,0.0,200000000.0,200000000.0,50000000.0,30000000.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
